real_time,simulation_time_ns,total_access_count,arar_count,flip_count
0,94,2,0,0
1,6194,128,4,0
2,11922,244,9,0
3,17789,360,16,0
4,23766,482,20,0
5,30068,612,25,0
6,36401,738,35,0
7,42520,864,40,0
8,48029,974,48,0
9,54341,1100,58,0
10,60734,1232,63,0
11,66979,1360,69,0
12,73572,1492,77,0
13,79599,1614,86,0
14,85215,1730,91,0
15,91654,1854,107,0
16,97883,1982,112,0
17,104282,2114,118,0
18,110668,2244,126,0
19,117097,2374,133,0
20,123198,2498,140,0
21,129375,2624,149,0
22,135836,2756,156,0
23,142268,2886,164,0
24,148601,3014,172,0
25,154455,3132,180,0
26,160582,3256,188,0
27,166937,3386,194,0
28,173144,3514,200,0
29,179882,3644,216,0
30,186223,3772,223,0
31,192592,3902,228,0
32,199056,4032,237,0
33,205198,4158,244,0
34,211668,4290,251,0
35,217963,4418,256,0
36,223845,4538,264,0
37,230279,4670,269,0
38,236576,4798,278,0
39,242400,4914,289,0
40,248976,5046,299,0
41,255226,5174,305,0
42,260319,5278,308,0
43,266829,5406,322,0
44,273237,5536,328,0
45,279538,5664,339,0
46,285810,5794,342,0
47,292094,5920,355,0
48,298685,6052,365,0
49,304973,6180,370,0
50,311427,6312,377,0
51,317019,6428,380,0
52,323259,6556,383,0
53,329806,6686,395,0
54,336499,6818,408,0
55,342609,6944,415,0
56,349236,7076,428,0
57,355681,7206,439,0
58,361710,7330,445,0
59,368139,7460,453,0
60,374447,7588,459,0
61,380593,7714,465,0
62,386794,7840,471,0
63,393192,7970,478,0
64,399778,8100,489,0
65,406317,8230,499,0
66,412379,8354,507,0
67,418243,8472,516,0
68,424584,8602,523,0
69,430912,8730,530,0
70,437343,8860,539,0
71,443838,8990,549,0
72,449956,9116,556,0
73,456320,9248,560,0
74,462099,9364,568,0
75,468280,9492,572,0
76,474709,9622,583,0
77,480958,9750,589,0
78,487392,9880,599,0
79,493599,10002,613,0
80,499695,10126,618,0
81,506032,10256,624,0
82,512349,10386,630,0
83,517959,10498,638,0
84,524440,10628,649,0
85,530452,10750,655,0
86,536111,10866,660,0
87,542433,10996,665,0
88,548815,11126,672,0
89,555024,11254,679,0
90,560917,11374,686,0
91,567096,11498,695,0
92,573569,11628,705,0
93,579959,11758,712,0
94,586409,11888,723,0
95,591935,11998,732,0
96,598312,12128,740,0
97,604806,12258,747,0
98,610846,12384,750,0
99,616362,12500,753,0
100,622094,12616,759,0
101,628489,12748,764,0
102,634994,12878,771,0
103,641162,13006,774,0
104,647542,13136,779,0
105,653635,13256,789,0
106,659171,13366,799,0
107,665777,13498,810,0
108,671893,13622,818,0
109,677199,13730,825,0
110,683597,13860,832,0
111,689982,13988,842,0
112,696321,14118,848,0
113,702897,14250,856,0
114,708344,14356,869,0
115,714128,14472,878,0
116,720574,14602,886,0
117,726949,14732,892,0
118,733291,14860,902,0
119,738916,14972,912,0
