real_time,simulation_time_ns,total_access_count,flip_count
0,59,2,0
1,3905,132,0
2,7626,258,0
3,11462,388,0
4,15179,514,0
5,18895,640,0
6,22736,770,0
7,26393,894,0
8,30287,1026,0
9,34064,1154,0
10,37903,1284,0
11,41678,1412,0
12,45509,1542,0
13,49330,1672,0
14,53102,1800,0
15,56893,1928,0
16,60542,2052,0
17,64377,2182,0
18,68087,2308,0
19,71626,2428,0
20,75467,2558,0
21,79189,2684,0
22,83025,2814,0
23,86802,2942,0
24,90564,3070,0
25,94284,3196,0
26,98171,3328,0
27,101884,3454,0
28,105600,3580,0
29,109319,3706,0
30,113035,3832,0
31,116938,3964,0
32,120717,4092,0
33,124434,4218,1
34,128332,4350,2
35,132050,4476,2
36,135882,4606,2
37,139664,4734,2
38,143376,4860,2
39,147036,4984,2
40,150815,5112,2
41,154591,5240,2
42,158422,5370,2
43,162131,5496,3
44,165846,5622,3
45,169619,5750,4
46,173390,5878,4
47,177044,6002,4
48,180878,6132,4
49,184593,6258,4
50,188245,6382,4
51,191966,6508,4
52,195858,6640,4
53,199638,6768,4
54,203405,6896,4
55,207236,7026,4
56,211014,7154,4
57,214618,7276,4
58,218513,7408,4
59,222296,7536,4
60,225963,7660,4
61,229734,7788,4
62,233274,7908,4
63,236984,8034,4
64,240701,8160,4
65,244367,8284,4
66,248210,8414,4
67,251746,8534,4
68,255520,8662,5
69,259241,8788,5
70,262963,8914,5
71,266795,9044,5
72,270511,9170,5
73,274229,9296,5
74,277943,9422,5
75,281770,9552,5
76,285551,9680,5
77,289155,9802,5
78,292937,9930,5
79,296768,10060,5
80,300665,10192,5
81,304326,10316,5
82,308231,10448,5
83,312073,10578,5
84,315671,10700,5
85,319578,10832,5
86,323293,10958,5
87,327197,11090,5
88,330910,11216,5
89,334684,11344,6
90,338394,11470,6
91,342228,11600,6
92,346005,11728,6
93,349897,11860,6
94,353614,11986,6
95,357457,12116,6
96,361235,12244,7
97,365123,12376,7
98,368598,12494,7
99,372485,12626,7
100,376270,12754,7
101,380053,12882,7
102,383765,13008,7
103,387484,13134,7
104,391251,13262,7
105,395023,13390,7
106,398795,13518,7
107,402574,13646,7
108,406232,13770,7
109,410014,13898,7
110,413737,14024,7
111,417505,14152,7
112,421339,14282,7
113,425175,14412,7
114,428770,14534,7
115,432545,14662,7
116,436265,14788,7
117,440089,14918,7
118,443863,15046,7
119,447693,15176,7
