real_time,simulation_time_ns,total_access_count,para_count,flip_count
0,66,2,0,0
1,3709,114,1,0
2,7598,234,1,0
3,11629,358,1,0
4,15972,490,3,0
5,20290,620,6,0
6,23889,730,7,0
7,28067,858,7,0
8,31918,974,10,0
9,36236,1106,11,0
10,40458,1236,12,0
11,44123,1348,13,0
12,48420,1478,16,0
13,52284,1596,17,0
14,56660,1728,20,0
15,60803,1854,21,0
16,65069,1984,23,0
17,69375,2114,27,0
18,73339,2234,29,0
19,77300,2356,29,0
20,81579,2486,30,0
21,85880,2616,32,0
22,89967,2742,32,0
23,94215,2872,32,0
24,98224,2994,33,0
25,102055,3112,33,0
26,106265,3242,33,0
27,110392,3368,34,0
28,114337,3488,35,0
29,118688,3620,37,0
30,122960,3750,39,0
31,126670,3864,40,0
32,130862,3992,41,0
33,135132,4122,42,0
34,138718,4232,43,0
35,142822,4356,46,0
36,147033,4484,48,0
37,151381,4616,50,0
38,155452,4738,53,0
39,159456,4860,54,0
40,163715,4990,55,0
41,167634,5108,57,0
42,171789,5234,59,0
43,176055,5364,60,0
44,180285,5494,60,0
45,184396,5618,62,0
46,188716,5748,65,0
47,192897,5876,66,0
48,196993,6002,66,0
49,201141,6128,67,0
50,205281,6254,69,0
51,209261,6376,69,0
52,213491,6506,69,0
53,217506,6628,70,0
54,221886,6760,73,0
55,225976,6884,75,0
56,230231,7014,76,0
57,234329,7138,78,0
58,238504,7266,79,0
59,242833,7396,82,0
60,247057,7526,82,0
61,250765,7640,82,0
62,254911,7768,82,0
63,258759,7886,83,0
64,262978,8016,83,0
65,267208,8146,83,0
66,270905,8256,87,0
67,274820,8374,89,1
68,279215,8506,91,1
69,283199,8628,92,1
70,287323,8754,94,1
71,291424,8880,95,1
72,295687,9010,96,1
73,299801,9136,97,1
74,303847,9260,98,1
75,308163,9392,99,1
76,312417,9522,100,1
77,316024,9634,100,1
78,320017,9756,101,1
79,324199,9884,102,1
80,328297,10010,103,1
81,332481,10134,108,1
82,336688,10260,112,1
83,340367,10372,114,1
84,344187,10488,116,1
85,348438,10618,117,1
86,352720,10748,119,1
87,356467,10862,121,1
88,360753,10992,123,1
89,364836,11118,123,1
90,369005,11246,124,2
91,373009,11370,124,2
92,377340,11502,126,2
93,381094,11618,126,3
94,385339,11748,127,3
95,389342,11870,129,3
96,393097,11984,130,3
97,397222,12110,131,3
98,401579,12242,133,3
99,405618,12366,134,3
100,409831,12494,136,3
101,414039,12624,136,3
102,417999,12744,138,3
103,422291,12874,140,3
104,426364,12996,143,3
105,430533,13124,144,3
106,434779,13254,144,3
107,438289,13358,148,3
108,441298,13450,149,3
109,445189,13570,149,3
110,449451,13700,150,3
111,453655,13830,150,3
112,457879,13960,150,3
113,461587,14074,150,3
114,465599,14196,151,3
115,469815,14324,153,3
116,474159,14456,154,3
117,478425,14586,156,3
118,482659,14716,156,3
119,486875,14844,159,3
