real_time,simulation_time_ns,total_access_count,para_count,flip_count
0,65,2,0,0
1,7420,132,8,0
2,11865,262,8,0
3,16958,390,10,0
4,21027,510,10,0
5,26688,634,14,0
6,31913,764,16,0
7,37090,894,18,0
8,43295,1022,23,0
9,47389,1122,25,0
10,53175,1248,29,0
11,58391,1380,31,0
12,63625,1510,33,0
13,69381,1634,37,0
14,74516,1762,39,0
15,79022,1894,39,0
16,84992,2024,43,0
17,88417,2126,43,0
18,93606,2256,45,0
19,97839,2382,45,0
20,102974,2512,47,0
21,107114,2612,49,0
22,112901,2738,53,0
23,119406,2864,59,0
24,125209,2992,63,0
25,131196,3124,67,0
26,136071,3246,69,0
27,141118,3372,71,0
28,145425,3500,71,0
29,151356,3630,75,0
30,156163,3752,77,0
31,161196,3878,79,0
32,168174,4008,86,0
33,173918,4134,90,0
34,179978,4266,94,0
35,184396,4396,94,0
36,188741,4524,94,0
37,194674,4656,98,0
38,199762,4784,100,0
39,203490,4896,100,0
40,209217,5012,105,0
41,214337,5140,107,0
42,219581,5272,109,0
43,224580,5396,111,0
44,229304,5526,112,0
45,234548,5656,114,0
46,238485,5772,114,0
47,245877,5902,122,0
48,251150,6024,125,0
49,258930,6144,135,0
50,264804,6274,139,0
51,269131,6400,139,0
52,276160,6520,147,0
53,283469,6652,155,0
54,288914,6770,159,0
55,296265,6898,167,0
56,302856,7028,173,0
57,307016,7150,173,0
58,311066,7268,173,0
59,316227,7398,175,0
60,322113,7526,179,0
61,327606,7644,183,0
62,332741,7774,185,0
63,337870,7904,187,0
64,343626,8018,192,0
65,349703,8150,196,0
66,356128,8274,202,0
67,360151,8394,202,0
68,365302,8524,204,0
69,369393,8644,204,0
70,374246,8766,206,0
71,378632,8894,206,0
72,385312,9026,212,0
73,390495,9136,216,0
74,394701,9260,216,0
75,400589,9390,220,0
76,406033,9518,223,0
77,411528,9636,227,0
78,416001,9766,227,0
79,420359,9894,227,0
80,425539,10026,229,0
81,430607,10154,231,0
82,434351,10264,231,0
83,438558,10388,231,0
84,444163,10520,234,0
85,449090,10644,236,0
86,455401,10764,242,0
87,459873,10894,242,0
88,464287,11024,242,0
89,469081,11142,244,0
90,474678,11262,248,0
91,479032,11392,248,0
92,483245,11508,249,0
93,488322,11638,251,0
94,494270,11768,255,0
95,498951,11886,257,0
96,505245,12018,262,0
97,510303,12148,264,0
98,515392,12276,266,0
99,520296,12400,268,0
100,524465,12522,268,0
101,530333,12652,272,0
102,536219,12782,276,0
103,541438,12892,280,0
104,547365,13022,284,0
105,552501,13152,286,0
106,557002,13262,288,0
107,561379,13390,288,0
108,566856,13508,292,0
109,571225,13638,292,0
110,576390,13768,294,0
111,583732,13898,302,0
112,590341,14018,309,0
113,594750,14148,309,0
114,599791,14278,311,0
115,604943,14408,313,0
116,610412,14526,317,0
117,617032,14656,323,0
118,621267,14782,323,0
119,626471,14914,325,0
120,631493,15040,327,0
121,635509,15156,327,0
122,640698,15286,329,0
123,645798,15416,331,0
124,652776,15546,338,0
125,657610,15666,340,0
126,662272,15782,342,0
127,667370,15912,344,0
128,671794,16042,344,0
129,676034,16166,344,0
130,682038,16298,348,0
131,686907,16420,350,0
132,692008,16550,352,0
133,696510,16660,354,0
134,701386,16782,356,0
135,705792,16912,356,0
136,713327,17038,365,0
137,717427,17160,365,0
138,723289,17288,369,0
139,727797,17420,369,0
140,732947,17550,371,0
141,739187,17668,377,0
142,743550,17798,377,0
143,749493,17928,381,0
144,754649,18058,383,0
145,758105,18160,383,0
146,762090,18256,385,0
147,766550,18366,387,0
148,770903,18492,387,0
149,775305,18622,387,0
150,781920,18750,393,0
151,787393,18868,397,0
152,793971,18996,403,0
153,800428,19124,409,0
154,804758,19252,409,0
155,808795,19370,409,0
156,814352,19500,412,0
157,819424,19626,414,0
158,825035,19748,418,0
159,830160,19878,420,0
160,834590,20008,420,0
161,839398,20128,422,0
162,844574,20260,424,0
163,850492,20390,428,0
164,856275,20494,434,0
165,860697,20622,434,0
166,865153,20754,434,0
167,869573,20884,434,0
168,874642,21000,437,0
169,878843,21122,437,0
170,883646,21242,439,0
171,890179,21372,445,0
172,896077,21502,449,0
173,900832,21620,451,0
174,905054,21746,451,0
175,909004,21862,451,0
176,914169,21994,453,0
177,920837,22124,459,0
178,926069,22254,461,0
179,931205,22384,463,0
180,936298,22512,465,0
181,941486,22620,469,0
182,947372,22750,473,0
183,952813,22868,477,0
184,959417,22998,483,0
185,967309,23122,493,0
186,972474,23252,495,0
187,978389,23382,499,0
188,984249,23510,503,0
189,988334,23632,503,0
190,993396,23762,505,0
191,997828,23892,505,0
192,1003211,24020,508,0
193,1007331,24140,508,0
194,1013915,24266,514,0
195,1019081,24396,516,0
196,1023913,24526,517,0
197,1029324,24640,521,0
198,1035011,24764,525,0
199,1040207,24892,527,0
200,1044292,25014,527,0
201,1048705,25144,527,0
202,1054623,25274,531,0
203,1058479,25388,531,0
204,1064023,25518,534,0
205,1068415,25648,534,0
206,1073482,25778,536,0
207,1078787,25890,540,0
208,1083191,26020,540,0
209,1088382,26150,542,0
210,1093416,26254,546,0
211,1099273,26382,550,0
212,1104805,26514,553,0
213,1109093,26640,553,0
214,1114536,26756,557,0
215,1118983,26886,557,0
216,1123430,27016,557,0
217,1129340,27146,561,0
218,1134029,27262,563,0
219,1138779,27378,565,0
220,1143136,27506,565,0
221,1147562,27636,565,0
222,1152076,27748,567,0
223,1157241,27878,569,0
224,1161638,28008,569,0
225,1168931,28138,577,0
226,1173138,28262,577,0
227,1177598,28392,577,0
228,1183132,28512,581,0
229,1189049,28642,585,0
230,1194776,28768,589,0
231,1199353,28900,589,0
232,1204473,29030,591,0
233,1210144,29154,595,0
234,1215304,29286,597,0
235,1219686,29414,597,0
236,1224108,29546,597,0
237,1227821,29656,597,0
238,1229970,29720,597,0
239,1234876,29844,599,0
240,1240461,29974,602,0
241,1246241,30102,606,0
242,1251228,30226,608,0
243,1256535,30358,610,0
244,1262411,30488,614,0
245,1268178,30616,618,0
246,1272606,30726,620,0
247,1276940,30854,620,0
248,1281754,30984,621,0
249,1286756,31110,623,0
250,1292512,31236,627,0
251,1297305,31356,629,0
252,1303111,31460,635,0
253,1306989,31574,635,0
254,1312916,31706,639,0
255,1317342,31836,639,0
256,1323329,31966,643,0
257,1327768,32096,643,0
258,1332574,32216,645,0
259,1337060,32348,645,0
260,1341527,32478,645,0
261,1346350,32574,649,0
262,1351226,32696,651,0
263,1356340,32826,653,0
264,1361051,32956,654,0
265,1366262,33086,656,0
266,1371903,33210,660,0
267,1378359,33336,666,0
268,1382719,33466,666,0
269,1387906,33596,668,0
270,1392441,33710,670,0
271,1397503,33838,672,0
272,1401790,33944,674,0
273,1406112,34072,674,0
274,1411226,34202,676,0
275,1416542,34314,680,0
276,1420596,34424,681,0
277,1425562,34548,683,0
278,1430726,34676,685,0
279,1434663,34792,685,0
280,1438260,34898,685,0
281,1443939,35024,689,0
282,1449125,35154,691,0
283,1453659,35286,691,0
284,1460137,35402,698,0
285,1466078,35530,702,0
286,1471159,35660,704,0
287,1475601,35790,704,0
288,1482201,35918,710,0
289,1487484,36050,712,0
290,1492735,36162,716,0
291,1496627,36276,716,0
292,1500730,36394,716,0
293,1505242,36526,716,0
294,1511914,36656,722,0
295,1516974,36762,726,0
296,1521039,36880,726,0
297,1527616,37008,732,0
298,1532467,37128,734,0
299,1536715,37254,734,0
