real_time,simulation_time_ns,total_access_count,trr_count,flip_count
0,93,2,0,0
1,5794,130,0,0
2,11608,260,0,0
3,17365,390,0,0
4,23028,516,0,0
5,28968,648,0,0
6,34747,778,0,0
7,40559,908,0,0
8,46255,1038,0,0
9,51867,1164,0,0
10,57571,1292,0,0
11,63451,1424,0,0
12,69159,1552,0,0
13,74910,1680,1,0
14,80691,1808,3,0
15,86437,1938,3,0
16,92154,2066,3,0
17,98033,2198,3,0
18,103715,2326,3,0
19,109419,2454,3,0
20,115213,2586,3,0
21,120874,2714,3,0
22,126663,2844,3,0
23,132318,2972,3,0
24,137862,3098,3,0
25,143431,3220,7,0
26,149151,3348,8,0
27,154934,3478,8,0
28,160654,3606,8,0
29,166418,3734,10,0
30,172026,3862,10,0
31,177464,3984,10,0
32,182913,4106,10,0
33,188789,4238,11,0
34,194630,4368,12,0
35,200418,4498,12,0
36,206133,4626,12,0
37,211891,4754,13,0
38,217585,4882,13,0
39,223273,5012,13,0
40,229054,5142,13,0
41,234758,5270,13,0
42,240649,5402,13,0
43,246370,5530,14,0
44,252063,5658,15,0
45,257870,5788,15,0
46,263706,5918,15,0
47,269550,6048,15,0
48,275157,6174,15,0
49,280799,6300,16,0
50,286264,6422,18,0
51,291983,6550,19,0
52,297252,6668,20,0
53,302977,6796,20,0
54,308807,6928,20,0
55,314622,7058,20,0
56,320305,7186,20,0
57,326195,7318,21,0
58,331838,7444,22,0
59,337743,7576,22,0
60,343078,7696,22,0
61,348953,7828,22,0
62,354565,7954,23,0
63,360206,8082,23,0
64,365996,8212,23,0
65,371338,8332,23,0
66,376972,8460,23,0
67,382117,8576,24,0
68,387834,8704,25,0
69,393497,8832,25,0
70,398967,8956,25,0
71,404828,9086,26,0
72,410334,9210,27,0
73,415339,9322,27,0
74,420723,9444,27,0
75,426624,9574,30,0
76,432454,9704,32,0
77,438296,9834,32,0
78,444080,9964,32,0
79,449870,10094,32,0
80,455581,10222,32,0
81,461329,10352,32,0
82,467091,10480,32,0
83,472708,10606,32,0
84,478372,10734,32,0
85,483937,10860,32,0
86,489752,10988,34,0
87,495435,11116,34,0
88,500757,11234,35,0
89,506572,11364,35,0
90,512363,11494,35,0
91,517960,11620,35,0
92,523768,11750,35,0
93,529538,11880,35,0
94,535235,12008,35,0
95,540764,12132,35,0
96,546632,12262,35,0
97,552426,12392,35,0
98,558045,12520,35,0
99,563488,12642,35,0
100,569008,12766,35,0
101,574978,12894,42,0
102,580741,13022,44,0
103,586525,13150,46,0
104,592295,13278,47,0
105,598087,13408,47,0
106,603834,13538,47,0
107,609411,13664,47,0
108,614987,13788,47,0
109,620826,13918,47,0
110,626524,14046,47,0
111,632174,14174,47,0
112,638104,14306,47,0
113,643697,14430,48,0
114,649551,14562,48,0
115,655199,14688,49,0
116,661165,14820,50,0
117,666934,14950,50,0
118,672691,15080,50,0
119,678323,15208,50,0
