real_time,simulation_time_ns,total_access_count,trr_count,flip_count
0,93,2,0,0
1,5495,112,0,0
2,11698,236,0,0
3,17956,364,0,0
4,24395,494,0,0
5,30717,622,0,0
6,37070,750,0,0
7,42926,870,0,0
8,49073,994,0,0
9,55321,1122,0,0
10,61621,1248,0,0
11,67842,1376,0,0
12,74126,1504,0,0
13,80263,1630,0,0
14,86540,1758,0,0
15,92979,1888,0,0
16,99281,2016,0,0
17,105440,2142,0,0
18,111954,2274,0,0
19,117945,2398,0,0
20,124098,2526,0,0
21,130189,2650,0,0
22,136378,2776,0,0
23,142634,2904,0,0
24,148651,3026,0,0
25,155645,3154,2,0
26,162615,3282,4,0
27,168539,3404,4,0
28,174762,3532,4,0
29,181157,3662,4,0
30,187358,3788,4,0
31,193838,3920,4,0
32,199292,4032,4,0
33,205605,4162,4,0
34,211303,4278,4,0
35,218446,4408,6,0
36,225530,4538,8,0
37,230751,4646,8,0
38,237069,4774,8,0
39,243445,4904,8,0
40,249726,5034,8,0
41,255098,5144,8,0
42,261511,5274,8,0
43,267937,5404,8,0
44,272999,5506,8,0
45,279386,5636,8,0
46,285703,5764,8,0
47,291460,5880,8,0
48,297684,6006,8,0
49,304025,6136,8,0
50,311080,6264,10,0
51,317589,6396,10,0
52,324212,6518,12,0
53,330463,6648,12,0
54,336805,6778,12,0
55,343159,6908,12,0
56,349609,7038,12,0
57,355115,7152,12,0
58,360255,7256,12,0
59,366415,7382,12,0
60,372745,7512,12,0
61,379004,7640,12,0
62,385202,7766,12,0
63,391386,7892,12,0
64,397884,8024,12,0
65,404148,8152,12,0
66,410410,8278,12,0
67,417662,8410,14,0
68,423976,8540,14,0
69,431127,8670,16,0
70,437430,8800,16,0
71,443400,8922,16,0
72,449705,9052,16,0
73,455826,9176,16,0
74,462069,9304,16,0
75,468491,9436,16,0
76,474723,9562,16,0
77,482371,9688,20,0
78,488641,9816,20,0
79,494975,9946,20,0
80,501211,10072,20,0
81,507515,10200,20,0
82,513949,10332,20,0
83,520303,10462,20,0
84,526422,10588,20,0
85,532710,10716,20,0
86,538569,10836,20,0
87,544416,10958,20,0
88,549413,11060,20,0
89,555300,11178,20,0
90,560780,11290,20,0
91,566523,11408,20,0
92,573047,11540,20,0
93,579385,11670,20,0
94,585740,11798,20,0
95,590882,11904,20,0
96,597171,12034,20,0
97,603554,12164,20,0
98,609866,12294,20,0
99,615994,12420,20,0
100,621660,12536,20,0
101,627994,12664,20,0
102,635600,12790,24,0
103,641982,12904,26,0
104,649319,13030,29,0
105,655602,13160,29,0
106,661592,13282,29,0
107,668005,13412,29,0
108,674025,13536,29,0
109,680432,13668,29,0
110,686668,13796,29,0
111,692498,13916,29,0
112,698811,14046,29,0
113,705214,14174,29,0
114,711584,14304,29,0
115,717788,14430,29,0
116,723938,14556,29,0
117,729265,14666,29,0
118,735294,14790,29,0
